id,name,description,url,notes,adoption_level_id,readiness_level_id,governance_id,created_at,updated_at,slug,tag_list
1,Blacklight,Blacklight is an open source Solr user interface discovery platform. You can use Blacklight to enable searching and browsing of your collections. Blacklight uses the Apache Solr search engine to search full text and/or metadata. Blacklight has a highly configurable Ruby on Rails front-end. Blacklight was originally developed at the University of Virginia Library and is made public under an Apache 2.0 license.,https://github.com/projectblacklight/blacklight,,4,10,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,blacklight,
2,C,,,,4,10,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,c,
3,Content Mine,Text and Data Mining Tools,http://contentmine.org/text-and-data-mining-tools/,,1,7,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,content_mine,
4,Counter,"COUNTER provides the standard that enables the knowledge community to count the use of electronic resources. Known as the Code of Practice, the standard ensures vendors and publishers can provide their library customers with consistent, credible and comparable usage data.",https://www.projectcounter.org/,,4,10,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,counter,
5,CSS,,,,5,10,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,css,
6,Dataverse,,https://github.com/IQSS/dataverse,,4,10,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,dataverse,
7,dokieli,"dokieli is a general-purpose client-side tool for decentralised article publishing, annotations and social interactions based on open Web standards and best practices. dokieli positions itself in a decentralised and interoperable information space where researchers can exercise their autonomy by controlling their identifiers and identities whilst fulfilling the core functions of scientific communication (registration, awareness, certification, archiving).",https://dokie.li/,,1,1,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,dokieli,
8,DSpace,,https://duraspace.org/dspace/,,4,10,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,dspace,
9,Editoria,"Editoria is an open-source authoring, editing, and workflow system initially developed by Coko in partnership with the Editoria community underwritten by fiscal sponsor Aspiration Tech and funded by the Mellon Foundation. Editoria is a web-based tool for producing scholarly monographs in both print and ebook forms. Coko’s PubSweet framework and Wax editor are underlying technologies in Editoria. Paged.js is available as a print production pathway, as are other format outputs.",https://editoria.pub/,,1,10,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,editoria,
10,Electric Book Manager,"Electric Book is a Jekyll-based tool for producing print PDF, digital PDF, EPUB, website, and app versions of books from a single markdown, YAML, and HTML-based content source. It was developed by consultancy and service provider Electric Book Works.",http://electricbook.works/,,4,10,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,electric_book,
11,Enhanced Networked Monographs,"Enhanced Networked Monographs (ENM) is an experimental project developed by New York University. It provides a free platform for topic-based and full-text searching on a corpus of books from NYU Press, University of Minnesota Press, and the University of Michigan Press. The platform consists of the ENM search application plus generated topic pages and the customized version of the Topic Curation Toolkit (TCT) used to power/generate them.",https://wp.nyu.edu/enmproject/,,3,1,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,enhanced_networked_monographs,
12,épisciences.org,Episciences.org is an innovative combination of the two routes of free access: the gold route by hosting journals in open access (overlay journals) and the green route where articles are submitted to these journals by depositing them in an open archive. The editorial boards of such epijournals organize peer reviewing and scientific discussion of selected or submitted preprints. Epijournals can thus be considered as “overlay journals” built above the open archives; they add value to these archives by attaching a scientific caution to the validated papers.,https://www.episciences.org/?lang=en,,3,10,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,episciences,
13,EPrints Services,EPrints Services offers fully managed and supported EPrints based repository services at our commercially run hosting providers.,https://www.eprints.org/uk/index.php/services/repository-hosting-0/,,4,10,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,eprints,
14,epub.js,"epub.js is a JavaScript library that provides a robust drop-in EPUB reader application to any website, providing styling, pagination, and persistence. The project comes from FuturePress, an offshoot of the UC Berkeley School of Information.",http://futurepress.org/,,1,1,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,epub_js,
15,Fedora,,https://duraspace.org/fedora/,,4,10,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,fedora,
16,Fidus Writer,"Fidus Writer is a web-based, collaborative editor made for academics who need to use citations and/or formulas. Fidus Writer offers a visual editing interface, real-time editing collaboration, a commenting/review workflow system, and a variety of export formats. Fidus provides hosting and styled templates for a monthly fee.",https://www.fiduswriter.org/,,1,10,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,fidus_writer,
17,Fulcrum,"Fulcrum is the University of Michigan Library's ebook hosting, preservation, and media integration platform, devloped on top of the Samvera repository platform. Fulcrum allows authors and publishers to integrate multimedia elements into a book—linked from a print book or directly integrated in an ebook—while providing a robust, richly described, and accessible reader environment and a discoverability platform for ebook collections. Fulcrum is a platform available to UMichigan Press authors, as well as a service offered to other publishers. Fulcrum makes use of epub.js, AblePlayer, Hypothes.is, and Editoria (in testing) to provide basic and enhanced functionality.",http://fulcrum.org,,3,10,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,fulcrum,
18,Go,,,,4,10,1,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,go,
19,Grobid,"GROBID (or Grobid) stands for GeneRation Of BIbliographic Data. It is a machine-learning library for extracting, parsing, and re-structuring journal articles in PDF format into structured TEI-encoded documents that can then be transformed to JATS XML. Grobid represents a best-of-breed example (see https://arxiv.org/abs/1802.01168) of the shift from traditional parser-based approaches to machine-learning models for converting legacy documents to XML. Grobid is employed in the PKP's Open Typesetting Stack.",https://grobid.readthedocs.io/en/latest/Introduction/,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,grobid,
20,Haplo Repository,,https://github.com/haplo-org/haplo-repository,,3,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,haplo_repository,
21,Haskell,,,,3,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,haskell,
22,Heliotrope,"Heliotrope is the codebase behind the Fulcrum publishing platform. It is a Rails application that extends Hyrax–the popular front-end repository solution from the Samvera open source community–to provide solutions for scholarly publishers. It is built by the University of Michigan Library and managed by the Library's publishing division, Michigan Publishing.",https://github.com/mlibrary/heliotrope,,1,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,heliotrope,
