id,name,description,url,codebase,notes,adoption_level,readiness_level,governance,business_form,slug,base_tech_list,depended_on_by,depends_on,functions,categories,hosting,pricing,release cycle,roadmap,status,licensing
1,Blacklight,Blacklight is an open source Solr user interface discovery platform. You can use Blacklight to enable searching and browsing of your collections. Blacklight uses the Apache Solr search engine to search full text and/or metadata. Blacklight has a highly configurable Ruby on Rails front-end. Blacklight was originally developed at the University of Virginia Library and is made public under an Apache 2.0 license.,http://projectblacklight.org/ ,https://github.com/projectblacklight/blacklight ,,significant,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,not_classified,blacklight,ruby,Samvera,Solr,discovery,component,,free to use,,,actively_maintained,   http://www.apache.org/licenses/LICENSE-2.0
3,Content Mine,ContentMine is a suite of tools to extract raw data from tables and graphs for the purposes of facilitating data reuse and reanalysis and meta-analyses.,http://contentmine.org/text-and-data-mining-tools/,https://github.com/ContentMine ,,not_classified,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,commercial_vendor,content_mine,"javascript, python, go, ruby",,,"data_mining, discovery, reader_tools",application,self-hosted,free to use,,,actively_maintained,"   http://www.apache.org/licenses/LICENSE-2.0, https://opensource.org/licenses/MIT "
4,COUNTER,"COUNTER provides the standard that enables the knowledge community to count the use of electronic resources. Known as the Code of Practice, the standard ensures vendors and publishers can provide their library customers with consistent, credible and comparable usage data.",https://www.projectcounter.org/ ,https://www.projectcounter.org/code-of-practice-five-sections,,significant,tr9_actual_system_proven_in_operational_environment,community_formal,non_profit_organisation,counter,,,,metrics,standard,,free to use,,,actively_maintained,Copyright © 2017 Counter Online Metrics (COUNTER)
6,Dataverse,"Dataverse is an open source web application to share, preserve, cite, explore, and analyze research data. ",https://dataverse.org/ ,https://github.com/IQSS/dataverse,,significant,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,fiscal_sponsor_academic,dataverse,java,,,"discovery, publishing, submission, ingest",application,self-hosted,free to use,,https://www.iq.harvard.edu/roadmap-dataverse-project,actively_maintained,    http://www.apache.org/licenses/LICENSE-2.0
7,dokieli,"dokieli is a general-purpose client-side tool for decentralised article publishing, annotations and social interactions based on open Web standards and best practices. dokieli positions itself in a decentralised and interoperable information space where researchers can exercise their autonomy by controlling their identifiers and identities whilst fulfilling the core functions of scientific communication (registration, awareness, certification, archiving).",https://dokie.li/,,,limited,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,not_classified,dokieli,javascript,,"Solid, Linked Data Notifications","annotation, publishing, social, creation",service,self-hosted,free to use,,,actively_maintained,    http://www.apache.org/licenses/LICENSE-2.0
8,DSpace,Open source institutional repository software,https://duraspace.org/dspace/,https://github.com/DSpace/DSpace,DSpace users are available at https://duraspace.org/registry/?filter_10=DSpace,significant,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,dspace,java,,,"discovery, publishing, submission, ingest, preservation",application,"self-hosted, hosted (SaaS) options available, see https://duraspace.org/dspace/resources/service-providers/.",free to use,,,actively_maintained,Copyright © 2002-2020 LYRASIS
9,Editoria,"Editoria is an open-source authoring, editing, and workflow system initially developed by Coko in partnership with the Editoria community underwritten by fiscal sponsor Aspiration Tech and funded by the Mellon Foundation. Editoria is a web-based tool for producing scholarly monographs in both print and ebook forms. Coko's PubSweet framework and Wax editor are underlying technologies in Editoria. Paged.js is available as a print production pathway, as are other format outputs.",https://editoria.pub/,https://gitlab.coko.foundation/editoria/editoria,,limited,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,fiscal_sponsor_non_profit,editoria,javascript,,PubSweet,"creation, publishing, formatting, workflow",application,"self-hosted, hosted (SaaS) option available via https://cloud68.co/","free to self-host, hosting from €708 annually",,https://gitlab.coko.foundation/editoria/editoria#community-roadmap-2-done,actively_maintained,https://opensource.org/licenses/MIT 
10,Electric Book Manager,"Electric Book is a Jekyll-based tool for producing print PDF, digital PDF, EPUB, website, and app versions of books from a single markdown, YAML, and HTML-based content source. It was developed by consultancy and service provider Electric Book Works.",https://manage.electricbook.works/github/,https://github.com/electricbookworks/electric-book,,significant,tr9_actual_system_proven_in_operational_environment,not_classified,commercial_vendor,electric_book,javascript,,,"publishing, formatting, format_conversion",application,"self-hosted, hosted (SaaS) version available via Electric Book Works",Subscription fee ($55 - $375 USD monthly),,,actively_maintained,https://www.gnu.org/licenses/gpl-3.0.en.html
11,Enhanced Networked Monographs,"Enhanced Networked Monographs (ENM) is an experimental project developed by New York University. It provides a free platform for topic-based and full-text searching on a corpus of books from NYU Press, University of Minnesota Press, and the University of Michigan Press. The platform consists of the ENM search application plus generated topic pages and the customized version of the Topic Curation Toolkit (TCT) used to power/generate them.",https://wp.nyu.edu/enmproject/,"https://github.com/NYULibraries/dlts-enm, https://github.com/NYULibraries/dlts-enm-search-application",,single,tr3_experimental_proof_of_concept,not_classified,fiscal_sponsor_academic,enhanced_networked_monographs,"go, javascript, Node.js",,,"annotation, discovery, reader_tools",package,self-hosted,free to use,,,minimally_maintained,   http://www.apache.org/licenses/LICENSE-2.0
12,Épisciences.org,"Episciences.org is a hosting platform for creating open access overlay journals. It is developed and managed by the CCSD (Centre pour la Communication Scientifique Directe). The Episciences.org platform supports submission of manuscripts via deposit in an open archive, peer review management, and publication.",https://www.episciences.org/?lang=en,https://github.com/CCSDForge/Episciences.org,,limited,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,episciences,,,,"publishing, submission, review",application,hosted (SaaS) version available via Épisciences,free to use,,,actively_maintained,
