slug,name,version,url,description,adoption_level,technology_readiness,tags,notes,governance
blacklight,Blacklight,,https://github.com/projectblacklight/blacklight,Blacklight is an open source Solr user interface discovery platform. You can use Blacklight to enable searching and browsing of your collections. Blacklight uses the Apache Solr search engine to search full text and/or metadata. Blacklight has a highly configurable Ruby on Rails front-end. Blacklight was originally developed at the University of Virginia Library and is made public under an Apache 2.0 license.,significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
c,C,,,,significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
content_mine,Content Mine,,http://contentmine.org/text-and-data-mining-tools/,Text and Data Mining Tools,not_classified,tr6_technology_demonstrated_in_relevant_environment,,,not_classified
counter,Counter,,https://www.projectcounter.org/,"COUNTER provides the standard that enables the knowledge community to count the use of electronic resources. Known as the Code of Practice, the standard ensures vendors and publishers can provide their library customers with consistent, credible and comparable usage data.",significant,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
css,CSS,,,,ubiquitous,tr9_actual_system_proven_in_operational_environment,,,not_classified
dataverse,Dataverse,4,https://github.com/IQSS/dataverse,,significant,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
dokieli,dokieli,current,https://dokie.li/,"dokieli is a general-purpose client-side tool for decentralised article publishing, annotations and social interactions based on open Web standards and best practices. dokieli positions itself in a decentralised and interoperable information space where researchers can exercise their autonomy by controlling their identifiers and identities whilst fulfilling the core functions of scientific communication (registration, awareness, certification, archiving).",not_classified,not_classified,distributed,,not_classified
dspace,DSpace,7,https://duraspace.org/dspace/,,significant,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
editoria,Editoria,Momenvasia (April 2019),https://editoria.pub/,"Editoria is an open-source authoring, editing, and workflow system initially developed by Coko in partnership with the Editoria community underwritten by fiscal sponsor Aspiration Tech and funded by the Mellon Foundation. Editoria is a web-based tool for producing scholarly monographs in both print and ebook forms. Coko’s PubSweet framework and Wax editor are underlying technologies in Editoria. Paged.js is available as a print production pathway, as are other format outputs.",not_classified,tr9_actual_system_proven_in_operational_environment,,,not_classified
electric_book,Electric Book Manager,0.15,http://electricbook.works/,"Electric Book is a Jekyll-based tool for producing print PDF, digital PDF, EPUB, website, and app versions of books from a single markdown, YAML, and HTML-based content source. It was developed by consultancy and service provider Electric Book Works.",significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
enhanced_networked_monographs,Enhanced Networked Monographs,ENM search application: v1.1.3,https://wp.nyu.edu/enmproject/,"Enhanced Networked Monographs (ENM) is an experimental project developed by New York University. It provides a free platform for topic-based and full-text searching on a corpus of books from NYU Press, University of Minnesota Press, and the University of Michigan Press. The platform consists of the ENM search application plus generated topic pages and the customized version of the Topic Curation Toolkit (TCT) used to power/generate them.",limited,not_classified,,,not_classified
